Colon,Segment,Phantom Number,Video Number ,Video Name,Camera Speed,Edge Enhancement,Brightness,Debris,Deformation,Open End Visible,Tags,Comments,Qualitative Score,Quantitative Score,Youtube Preview URL ID,Total Frames
c2,sigmoid,t3,v3,c2_sigmoid_t3_v3,15.0,3.0,-2.0,yes,no,yes,straight line ,mucous pool & fecal debris cover major FOV,1.0,,LUXdc2Z5Mo0,225
c2,sigmoid,t4,v1,c2_sigmoid_t4_v1,10.0,2.0,2.0,no,no,yes,textureless enface ,down the barrel (flexure) to en face,2.0,-1.4353,g4U5GVXwlwM,413
c2,sigmoid,t4,v2,c2_sigmoid_t4_v2,15.0,1.0,1.0,no,no,yes,textureless enface ,en face to down the barrel (in flexure),2.0,-1.1985,EmcqqgGxiOk,290
c2,sigmoid,t4,v3,c2_sigmoid_t4_v3,15.0,1.0,1.0,yes,no,yes,textureless enface ,"fecal liquid pool,  ",2.0,,3skce4FJ6UU,290
c2,transverse1,t1,v1,c2_transverse1_t1_v1,20.0,2.0,-5.0,no,no,yes,polyp ; textureless enface ; exploratory,"en face to down the barrel, exploratory motion intial",1.0,0.3944,mZHYcku1Wyw,402
c2,transverse1,t1,v2,c2_transverse1_t1_v2,10.0,2.0,-5.0,no,no,yes,polyp ; water on lens,"towards the polyp, lens cleaning and water on lens",2.0,0.0595,2VP8xUdG0O8,627
c2,transverse1,t1,v3,c2_transverse1_t1_v3,10.0,2.0,-5.0,yes,no,yes,polyp ; water on lens ,lens cleaning and water on lens in withdrawl; red debris,2.0,,eq7aC1IKUuA,627
c2,transverse1,t1,v4,c2_transverse1_t1_v4,10.0,2.0,-5.0,yes,yes,yes,,straight line motion in & out,,,xq_zRtMViv4,387
c2,transverse1,t2,v1,c2_transverse1_t2_v1,9.0,2.0,5.0,no,no,yes,polyp; saturation,moving towards and inspecting the polyp,3.0,-0.9227,_2-itv83oX0,610
c2,transverse1,t2,v2,c2_transverse1_t2_v2,15.0,2.0,5.0,no,no,yes,polyp; saturation,oscillatory motion in exploration,3.0,-0.4986,5OgMpqaKrWk,600
c2,transverse1,t2,v3,c2_transverse1_t2_v3,15.0,2.0,5.0,yes,no,yes,polyp ; saturation,blood pool,3.0,,DdGrEtDEg0o,600
c2,transverse1,t3,v1,c2_transverse1_t3_v1,10.0,3.0,0.0,no,no,yes,exploratory ; water on lens ,"slow circular exploratory motion in first fold, lens cleaning and water on lens",3.0,-1.2219,-pBHC7JZkME,853
c2,transverse1,t3,v2,c2_transverse1_t3_v2,20.0,3.0,1.0,no,no,yes,straight line ; water on lens ; loop ; mirrored path,straight line path back to same point; lens cleaning in the middle,3.0,-1.3121,z4uk4W5rSuA,298
c2,transverse1,t3,v3,c2_transverse1_t3_v3,20.0,3.0,1.0,no,no,yes,straight line ; water on lens ; loop ; mirrored path,"heavy fecal debris, straight line path back to same point; lens cleaning in the middle",3.0,,Mls5XP1YqoI,298
c2,transverse1,t3,v4,c2_transverse1_t3_v4,0.0,3.0,1.0,yes,yes,yes,saturation,camera stationary; heavy  fecal debris,,,VW079mfz-oQ,420
c2,transverse1,t4,v1,c2_transverse1_t4_v1,20.0,3.0,0.0,no,no,yes,polyp ; loop ,slow smooth motion; exploring the first haustral fold and goes directly to polyp,3.0,-1.1864,EmYfmepbgDQ,376
c2,transverse1,t4,v2,c2_transverse1_t4_v2,20.0,3.0,0.0,no,no,yes,textureless enface ; water on lens ; polyp,down the barrel ->en face ->down the barrel; water on lens and lens cleaning,3.0,-1.0619,gdxqeVvtmmc,382
c2,transverse1,t4,v3,c2_transverse1_t4_v3,20.0,3.0,0.0,yes,no,yes,textureless enface ; water on lens ; polyp,down the barrel ->en face ->down the barrel; thick debris; lens cleaning; water on lens,3.0,,EtFHIMVJVH8,382
c2,transverse2,t1,v1,c2_transverse2_t1_v1,12.0,3.0,-4.0,no,no,yes,polyp,slow orbiting around the polyp,1.0,1.1318,y_oO6i7SE7Q,393
c2,transverse2,t1,v2,c2_transverse2_t1_v2,20.0,3.0,-1.0,no,no,yes,polyp ; textureless enface ; water on lens ,"lens cleaning after en face, down the barrel after enface",1.0,-0.0911,irmSsGTowZs,552
c2,transverse2,t1,v3,c2_transverse2_t1_v3,20.0,3.0,-1.0,yes,no,yes,polyp ; textureless enface ; water on lens ; water jet ; debris on lens ,cleaning polyp with water jet and scope dips into mucous pool which is cleaned with lens cleaning water.,1.0,,8bLe5R64OhA,552
c2,transverse2,t2,v1,c2_transverse2_t2_v1,12.0,2.0,0.0,no,no,yes,polyp,"towards and away from polyp, first and last point are close",2.0,-0.2533,xWMEdnjCNYo,415
c2,transverse2,t2,v2,c2_transverse2_t2_v2,17.0,2.0,0.0,no,no,yes,zigzag; polyp,zizag,2.0,0.2877,vhZFy_99FRE,337
c2,transverse2,t2,v3,c2_transverse2_t2_v3,17.0,2.0,0.0,yes,no,yes,zigzag; polyp,low grade fecal debris,2.0,,Dgnkzme6Yqc,337
c2,transverse2,t3,v1,c2_transverse2_t3_v1,31.0,3.0,-2.0,no,no,yes,fast ,"fast motion, oscillatory exploration",1.0,0.5563,C0Y8XRRR7fE,193
c2,transverse2,t3,v2,c2_transverse2_t3_v2,7.0,3.0,-2.0,no,no,no,polyp,Hover around the polyp & wait in for 5 sec.,3.0,1.1184,qSkqcN4Es18,733
c2,transverse2,t3,v3,c2_transverse2_t3_v3,7.0,3.0,-2.0,yes,no,no ,polyp ; water jet ; water on lens ,"water jet, water bead visble on lens, cleaning up the polyp with water",3.0,,o8PAQ6zV1ho,733
c2,transverse2,t4,v1,c2_transverse2_t4_v1,13.0,3.0,5.0,no,no,yes,water on lens ; mirrored path ; textureless enface; straight line,first and second half of the trajectories the same; lens has water in the second half,1.0,1.2778,y4Fi-r5wtao,687
c2,transverse2,t4,v3,c2_transverse2_t4_v3,7.0,5.0,5.0,yes,no,yes,polyp ; water jet ; saturation,water jet; trying to clean a false positive polyp,2.0,,n9MZgqEOkrk,940
